amp,vol,adx,kombination,n_trades,hit_%,payoff,profit_factor,avg_win_%,avg_loss_%,avg_hold_d,max_win_%,max_loss_%,gross_ret_%,net_ret_%,earned_%,stall_exit_%
0.01,,20.0,Amp≥1% + ADX≥20,5876,34.18992511912866,2.6318699754149626,1.3673200880808534,7.406044211968582,-2.8139856000298353,16.798672566371682,127.38109626060292,-37.39991487599708,3997.0605065295076,-7754.939493470493,39.48264125255276,53.23349217154527
,,,Baseline,6595,34.08642911296437,2.635676055251394,1.363008919301848,7.159092838497025,-2.7162263830689857,16.795451099317663,127.38109626060292,-37.39991487599708,4286.20461374043,-8903.79538625957,39.57543593631539,53.22213798332069
0.01,,25.0,Amp≥1% + ADX≥25,5385,34.05756731662024,2.629906235577421,1.358278804857502,7.445788254268412,-2.8311991330875785,16.761931290622098,127.38109626060292,-37.39991487599708,3601.987536734275,-7168.012463265724,39.31290622098422,53.370473537604454
,,25.0,ADX≥25,5952,33.921370967741936,2.643444176713901,1.35700833785542,7.22203595637421,-2.7320554071060483,16.733870967741936,127.38109626060292,-37.39991487599708,3836.116679771443,-8067.883320228557,39.163306451612904,53.545026881720425
0.03,,,Amp≥3%,2837,33.20408882622489,2.728213090973662,1.3561882489167227,9.151585662701116,-3.3544248039052698,16.33168840324286,127.38109626060292,-30.678159341044807,2264.158690863965,-3409.841309136035,37.36341205498766,55.19915403595347
,,20.0,ADX≥20,6431,34.02270253459804,2.6188154332773674,1.3504520782490879,7.169058197069724,-2.7375194547780204,16.75804696003732,127.38109626060292,-37.39991487599708,4070.6042885654174,-8791.395711434583,39.38734255947753,53.366505986627274
0.03,,25.0,Amp≥3% + ADX≥25,2454,33.251833740831295,2.698726088366936,1.3444203224099023,9.240646754268035,-3.424077305992833,16.273023634881827,127.38109626060292,-30.678159341044807,1931.7291242664555,-2976.270875733544,36.267318663406684,55.05297473512633
0.03,,20.0,Amp≥3% + ADX≥20,2755,33.06715063520871,2.7194046719463327,1.343480290750059,9.201151988133656,-3.3835170186525443,16.303085299455535,127.38109626060292,-30.678159341044807,2143.044078794467,-3366.9559212055324,36.84210526315789,55.24500907441017
0.03,2.0,20.0,Amp≥3% + Vol≥2.0× + ADX≥20,1003,32.701894317048854,2.7507947508440878,1.3366824863360898,9.059598562368084,-3.2934476698372808,17.434695912263212,84.68032057285984,-30.678159341044807,748.4711513165669,-1257.5288486834331,37.188434695912264,57.32801595214357
0.03,1.5,,Amp≥3% + Vol≥1.5×,1810,32.928176795580114,2.717181443380757,1.333970461495001,8.995043891274657,-3.31043181278424,16.75193370165746,84.68032057285984,-30.678159341044807,1342.1819384796277,-2277.8180615203723,37.95580110497237,56.24309392265193
,,30.0,ADX≥30,5212,33.518802762854946,2.6430358867665453,1.3333478758825166,7.140862210944369,-2.7017651355768777,16.497889485801995,123.99496570001367,-30.678159341044807,3118.8736180170854,-7305.126381982915,39.00613967766692,53.127398311588635
0.03,2.0,,Amp≥3% + Vol≥2.0×,1026,32.553606237816766,2.750062156026351,1.3273421388913311,9.0418672048002,-3.2878773976021947,17.35867446393762,84.68032057285984,-30.678159341044807,744.7724872625479,-1307.2275127374521,36.939571150097464,57.30994152046783
,2.0,20.0,Vol≥2.0× + ADX≥20,1445,31.69550173010381,2.8533746315664055,1.3240583396731647,8.419199723911547,-2.9506114026428043,16.895501730103806,84.68032057285984,-30.678159341044807,943.7400191430395,-1946.2599808569603,37.508650519031136,56.470588235294116
0.03,1.5,20.0,Amp≥3% + Vol≥1.5× + ADX≥20,1768,32.918552036199095,2.6885722556084617,1.319349960172112,8.965801631516712,-3.3347817276674325,16.743212669683256,84.68032057285984,-30.678159341044807,1263.0454205291512,-2272.9545794708492,37.7262443438914,56.165158371040725
0.01,,30.0,Amp≥1% + ADX≥30,4676,33.532934131736525,2.6107467415984247,1.3179816132731261,7.354993613023022,-2.8171991927949094,16.45786997433704,123.99496570001367,-30.678159341044807,2782.409292399113,-6569.590707600887,38.8366124893071,52.78015397775877
,2.0,,Vol≥2.0×,1481,31.465226198514518,2.861454699643385,1.313731911363367,8.418126364383815,-2.9419044674839485,16.87711006076975,84.68032057285984,-30.678159341044807,936.81385130665,-2025.1861486933499,37.33963538149899,56.38082376772451
0.05,3.0,,Amp≥5% + Vol≥3.0×,305,33.442622950819676,2.6086139144693443,1.3107321146594735,10.181101687393118,-3.9028779348760785,18.072131147540983,68.39236239415385,-30.678159341044807,246.1881513342543,-363.81184866574574,37.049180327868854,56.72131147540984
0.01,2.0,20.0,Amp≥1% + Vol≥2.0× + ADX≥20,1341,31.469052945563014,2.8517475928554803,1.309507599766064,8.701622984588937,-3.0513300007298065,16.757643549589858,84.68032057285984,-30.678159341044807,867.9126288258393,-1814.0873711741606,37.06189410887398,56.67412378821774
0.03,,30.0,Amp≥3% + ADX≥30,2021,31.964374072241462,2.765719236756166,1.2993851832323515,9.439460745732298,-3.413022052377079,16.047996041563582,123.99496570001367,-30.678159341044807,1404.9863197245816,-2637.0136802754187,36.26917367639783,54.923305294408706
0.01,2.0,,Amp≥1% + Vol≥2.0×,1374,31.368267831149925,2.8405122986273827,1.2982617186727485,8.647262685081298,-3.044261659863224,16.709606986899562,84.68032057285984,-30.678159341044807,856.231472019019,-1891.7685279809814,36.972343522561864,56.477438136826784
0.01,1.5,,Amp≥1% + Vol≥1.5×,2800,32.67857142857143,2.67079425620595,1.2964332861689358,7.878741752899781,-2.949962070119203,16.59107142857143,84.68032057285984,-30.678159341044807,1648.3702017286012,-3951.6297982713986,38.82142857142858,54.57142857142857
