ticker,slot,entry_date,exit_date,entry_price,exit_price,shares,pnl_€,ret_%,hold_d,earned_mode,earned_date,pyramid_count,max_unreal_%,exit_reason,is_rotation,exhausted,exhaust_date,setup
PGR,2,2022-06-17,2022-07-19,100.42,101.44,30,-9.53,-0.31,20,True,2022-06-24,0,9.51,ATR,False,False,,B
XEL,2,2022-07-20,2022-07-21,60.82,59.62,49,-98.86,-3.3,1,False,,0,0.0,Rotation,True,False,,B
LLY,2,2022-07-21,2022-08-05,311.49,293.11,9,-205.44,-7.28,11,False,,0,3.15,ATR,False,False,,B
VRTX,1,2022-06-14,2022-09-07,246.33,279.89,21,150.93,2.64,58,True,2022-06-17,1,21.31,ATR,False,False,,B
PSA,2,2022-09-07,2022-09-09,292.35,294.07,10,-22.8,-0.77,2,False,,0,1.2,Rotation,True,False,,B
EXR,1,2022-09-07,2022-09-12,172.56,172.16,17,-46.67,-1.58,3,False,,0,1.39,Rotation,True,False,,B
VLO,2,2022-09-09,2022-09-16,103.1,93.66,28,-304.37,-10.47,5,False,,0,0.0,ATR,False,False,,B
OXY,1,2022-09-12,2022-09-26,63.32,55.11,46,-417.79,-14.25,10,False,,0,0.3,ATR,False,False,,B
UNH,2,2022-09-21,2022-10-03,491.68,474.87,5,-124.05,-5.01,8,False,,0,0.0,Rotation,True,False,,B
CDNS,2,2022-10-03,2022-10-11,164.39,154.57,14,-177.48,-7.65,6,True,2022-10-04,0,4.22,ATR,False,False,,B
OXY,1,2022-09-29,2022-12-06,57.86,62.5,76,-75.69,-1.58,47,True,2022-10-04,1,20.55,ATR,False,False,,B
APA,2,2022-12-06,2022-12-12,39.73,37.3,59,-183.59,-7.77,4,False,,0,0.0,Rotation,True,False,,B
DRE,2,2022-12-13,2022-12-14,256.08,248.1,8,-103.86,-5.02,1,False,,0,0.0,Rotation,True,False,,B
ITW,2,2022-12-14,2022-12-15,207.64,203.7,10,-79.43,-3.79,1,False,,0,0.0,Rotation,True,False,,B
BIIB,1,2022-12-06,2022-12-28,292.22,275.64,8,-172.64,-7.32,15,False,,0,0.0,ATR,False,False,,B
ROST,2,2022-12-15,2023-02-06,111.98,111.17,18,-54.6,-2.68,34,True,2023-01-06,0,4.86,ATR,False,False,,B
SYK,1,2022-12-29,2023-02-07,235.22,260.35,8,161.11,8.47,26,True,2023-01-06,0,16.61,Exhaust,False,True,2023-02-02,B
KLAC,2,2023-02-06,2023-02-10,392.14,388.14,5,-59.98,-3.03,4,False,,0,3.08,Rotation,True,False,,B
DD,1,2023-02-07,2023-02-21,29.54,29.15,72,-67.68,-3.15,9,False,,0,3.31,Rotation,True,False,,B
NFLX,1,2023-02-21,2023-02-27,34.28,32.39,60,-153.88,-7.41,4,False,,0,0.0,ATR,False,False,,B
META,1,2023-02-27,2023-03-01,170.54,173.23,11,-10.42,-0.55,2,False,,0,1.78,Rotation,True,False,,B
FCX,2,2023-02-10,2023-03-10,40.87,37.47,51,-213.29,-10.14,19,False,,0,2.41,ATR,False,False,,B
ALGN,1,2023-03-01,2023-03-13,307.5,311.41,6,-16.54,-0.89,8,True,2023-03-03,0,9.2,ATR,False,False,,B
ECL,2,2023-03-15,2023-03-16,152.64,153.23,12,-32.93,-1.78,1,False,,0,0.74,Rotation,True,False,,B
BIIB,2,2023-03-16,2023-03-20,259.46,264.65,7,-3.67,-0.2,2,False,,0,2.23,Rotation,True,False,,B
LIN,2,2023-03-21,2023-03-23,330.2,327.09,5,-55.53,-3.32,2,False,,0,0.0,Rotation,True,False,,B
MCHP,2,2023-03-23,2023-04-06,76.11,72.81,24,-119.07,-6.45,10,False,,0,2.16,Rotation,True,False,,B
KLAC,1,2023-03-15,2023-04-20,363.13,352.21,5,-94.58,-5.15,25,True,2023-03-22,0,6.94,ATR,False,False,,B
NFLX,1,2023-04-20,2023-04-21,32.04,32.3,54,-25.91,-1.48,1,False,,0,1.55,Rotation,True,False,,B
ANET,2,2023-04-06,2023-05-03,39.67,33.78,44,-299.49,-16.96,18,False,,0,3.84,ATR,False,False,,B
STLD,2,2023-05-03,2023-05-05,99.44,93.82,14,-118.68,-8.4,2,False,,0,0.0,ATR,False,False,,B
ADI,2,2023-05-05,2023-05-12,171.74,172.5,7,-34.68,-2.84,5,False,,0,2.15,Rotation,True,False,,B
ZBH,2,2023-05-12,2023-05-15,133.16,133.15,9,-40.09,-3.29,1,False,,0,0.0,Rotation,True,False,,B
NVDA,1,2023-04-21,2023-05-25,26.93,38.49,63,688.33,40.1,24,True,2023-05-01,0,17.53,Exhaust,False,True,2023-05-18,B
BKNG,2,2023-05-15,2023-05-31,103.15,98.82,12,-91.94,-7.31,11,True,2023-05-18,0,5.86,ATR,False,False,,B
CRM,2,2023-06-15,2023-06-29,204.94,208.83,8,-8.86,-0.53,9,False,,0,4.34,Rotation,True,False,,B
ALGN,1,2023-05-25,2023-07-06,282.96,330.08,6,242.72,14.13,27,True,2023-06-02,0,24.98,Exhaust,False,True,2023-06-30,B
MRVL,2,2023-06-29,2023-08-10,59.83,59.58,29,-47.17,-2.69,29,True,2023-07-13,0,9.21,ATR,False,False,,B
ORCL,1,2023-07-07,2023-08-10,110.85,110.22,17,-50.84,-2.67,24,True,2023-07-18,0,5.53,ATR,False,False,,B
MRVL,2,2023-08-10,2023-08-28,59.58,53.31,30,-228.19,-12.63,12,False,,0,2.3,ATR,False,False,,B
