ticker,trough_date,peak_date,wait_days,decision_date,rem_ret_pct,rest_dd_pct,rem_tq,total_ret,dist_sma200_dec,atr_pct_dec,snap_atr_pct,delta_atr_pct,snap_bb_width,delta_bb_width,snap_dist_sma200,delta_dist_sma200,snap_rsi14,delta_rsi14,snap_vol_spike,delta_vol_spike,snap_dist_sma50,delta_dist_sma50,snap_dist_sma20,delta_dist_sma20,snap_macd_hist_norm,delta_macd_hist_norm,wait_days_key
GM,2024-10-02,2024-10-22,2,2024-10-04,17.62,1.6,10.987,19.88,0.0616,0.0317,0.03169564552750934,-0.0008950290424311821,0.12741165610248423,-0.0010099558203367776,0.061625231170040685,0.01755268778407075,45.96014243527733,5.743097071696113,0.835848250053114,0.07913868594690632,-0.0011268000032587167,0.018691474327631588,-0.01677807025464284,0.023170564329476125,-0.006423545523669499,0.002286103801725248,2
GM,2024-10-31,2024-11-25,2,2024-11-04,16.22,4.92,3.2952,18.6,0.1628,0.0305,0.030529502703228094,0.0002047325736723657,0.16959696970230112,-0.02863640347732052,0.16280502974482092,0.019079432525537315,59.71495549737303,4.1028045821376224,0.7716686303305978,0.040274673706884645,0.07187572765565049,0.018045642891994035,0.0322014424815006,0.009412333539876722,-0.000372788506668207,-0.0025168970741859796,2
GM,2025-07-22,2025-10-01,2,2025-07-24,17.5,2.51,6.9797,25.79,0.0509,0.029,0.028972667614614932,0.002995975711324754,0.11772300468762283,-0.0345919167831444,0.05088078644218881,0.06765191423736834,53.56742933781583,15.059485938614117,0.9400235746337676,-2.4221165805370335,0.043932850741644984,0.06542758499110148,0.0046161909214887855,0.058648058635984476,-0.003894085666552821,0.0018892491887259359,2
GM,2025-10-10,2025-11-13,2,2025-10-14,25.79,4.29,6.0069,29.88,0.1194,0.029,0.028971378160598055,-9.264155553453945e-08,0.13513327080027224,0.009391675865181859,0.11938468538179978,0.03445109765479219,45.748977058291,11.671944940520966,1.1086590519456936,0.43113675832702847,-0.007302543794369062,0.028673387261127708,-0.0272257198895296,0.034344404128882386,-0.009762163391733681,0.0028652682116244096,2
GM,2025-11-17,2026-01-08,2,2025-11-19,24.53,2.5,9.7937,25.61,0.2889,0.023,0.02297184700055902,0.00018959732295513107,0.0872314647665534,-0.009225332580013429,0.28889156154677725,0.006182678208503545,55.607768500161036,2.0763416250849787,1.1803106769197056,0.4656693700524597,0.08316825841661189,0.0021224200721805947,-0.012228267392774382,0.006739378155566371,-0.007996212683444737,-0.003739215549608036,2
GOOG,2020-04-21,2020-06-10,2,2020-04-23,14.85,3.84,3.8641,20.51,0.0002,0.0351,0.035126375403906396,-0.0015232145420801882,0.19599009354591326,-0.00968227135833008,0.00024030603620385857,0.045882568570871606,56.25852912764562,6.497102877628045,0.688109872632453,-0.18550950037420966,0.012196494915824009,0.05481783954971086,0.06270425700042466,0.03701306000715447,0.011090490225036952,-0.002346133501459926,2
GOOG,2020-06-26,2020-07-22,2,2020-06-30,10.96,1.97,5.5566,15.34,0.0657,0.0287,0.028689475282600303,0.0009884304042811869,0.07283182250282437,0.0023485703542328595,0.06568016478281027,0.03919508398467052,49.96308036737189,10.175137684686156,1.124261006462409,-1.3161120514805114,0.01932956997719222,0.03505680298963217,-0.011876463564287862,0.03961422014438354,-0.006334493049677275,0.00046670740082662386,2
GOOG,2020-08-04,2020-09-02,2,2020-08-06,15.21,1.32,11.536,17.97,0.1001,0.0257,0.025699065112155285,-0.000716706150080057,0.07726396832524463,0.0024389950479088707,0.10013325643260809,0.023860759226522754,51.424287160963125,6.94212561100057,1.169427505633518,0.009612491101556708,0.01991489948863677,0.022000553860503227,-0.010525162935730106,0.024231284027646686,-0.006042420525929145,0.001517230018794444,2
GOOG,2020-09-23,2020-10-23,2,2020-09-25,13.57,2.46,5.5161,15.95,0.0273,0.0348,0.03476806579960661,-0.007806978560488773,0.24361609585778393,0.0009323081480067941,0.027344855674307875,0.020489640807791774,40.05263518710395,4.970897833456554,0.6749603977317657,-0.10897493493465027,-0.058703560880677096,0.021278835802245967,-0.060639762766129646,0.031540947074986836,-0.010475443492082471,0.003275394080479001,2
GOOG,2020-10-28,2020-12-04,2,2020-10-30,12.77,2.61,4.8894,20.53,0.1363,0.0322,0.032161785997598544,0.0019129506255871655,0.13149419130350437,-0.016315323764257816,0.1363243782209281,0.07206794063883797,58.104422377510545,12.013872445432028,2.3923891839317393,1.2782405902861527,0.04903455146446788,0.0668061394759628,0.04306356821820881,0.05958552045024224,0.0017521287122428493,0.0002477701547424602,2
